Author: Elliot Lu, Date: 2024-10-19, Title: Update README.md
Author: github-actions[bot], Date: 2024-10-19, Title: Update README with weekly commit counts
Author: Elliot Lu, Date: 2024-10-19, Title: Update get_history.yml
Author: github-actions[bot], Date: 2024-10-19, Title: Update README with weekly commit counts
Author: Elliot Lu, Date: 2024-10-19, Title: Added Logo on Header for Home Page
Author: github-actions[bot], Date: 2024-10-11, Title: Update README with weekly commit counts
Author: Aidan Tam, Date: 2024-10-11, Title: Save text word edited
Author: github-actions[bot], Date: 2024-10-11, Title: Update Commit Logs
Author: Elliot Lu, Date: 2024-10-10, Title: Merge branch 'main' of https://github.com/elu211/HHSSciOlyWebsite
Author: Elliot Lu, Date: 2024-10-10, Title: Don't Quit
Author: github-actions[bot], Date: 2024-10-11, Title: Update README with weekly commit counts
Author: Elliot Lu, Date: 2024-10-10, Title: Update get_history.yml
Author: github-actions[bot], Date: 2024-10-11, Title: Update README with weekly commit counts
Author: Elliot Lu, Date: 2024-10-10, Title: Update get_history.yml
Author: github-actions[bot], Date: 2024-10-10, Title: Update README with weekly commit counts
Author: Elliot Lu, Date: 2024-10-10, Title: Update update_readme.yml
Author: github-actions[bot], Date: 2024-10-10, Title: Update README with weekly commit counts
Author: Elliot Lu, Date: 2024-10-10, Title: Update update_readme.yml
Author: github-actions[bot], Date: 2024-10-10, Title: Update README with weekly commit counts
Author: Elliot Lu, Date: 2024-10-10, Title: Update update_readme.yml
Author: github-actions[bot], Date: 2024-10-10, Title: Update README with weekly commit counts
Author: Elliot Lu, Date: 2024-10-10, Title: Started Next JS project with shadcn
Author: github-actions[bot], Date: 2024-10-08, Title: Update README with weekly commit counts
Author: Elliot Lu, Date: 2024-10-08, Title: Update update_readme.yml
Author: Elliot Lu, Date: 2024-10-08, Title: Update update_readme.yml
Author: Elliot Lu, Date: 2024-10-08, Title: Update update_readme.yml
Author: Elliot Lu, Date: 2024-10-08, Title: Update update_readme.yml
Author: Elliot Lu, Date: 2024-10-08, Title: Update update_readme.yml
Author: Elliot Lu, Date: 2024-10-08, Title: Update update_readme.yml
Author: Elliot Lu, Date: 2024-10-08, Title: Update update_readme.yml
Author: Elliot Lu, Date: 2024-10-08, Title: Update update_readme.yml
Author: github-actions[bot], Date: 2024-10-08, Title: Update README with weekly commit counts
Author: Elliot Lu, Date: 2024-10-08, Title: Update update_readme.yml
Author: Elliot Lu, Date: 2024-10-08, Title: Update update_readme.yml
Author: Elliot Lu, Date: 2024-10-08, Title: Update update_readme.yml
Author: Elliot Lu, Date: 2024-10-08, Title: Update update_readme.yml
Author: Elliot Lu, Date: 2024-10-08, Title: Update update_readme.yml
